Name,County,"Population Census
Glen,Limerick,...,...,216,420,455,450
Glenamaddy,Galway,338,394,457,502,500,480
Glenbeigh,Kerry,230,251,330,280,285,308
Glencullen,Dún Laoghaire- Rathdown,...,...,204,189,268,238
Glenealy,Wicklow,361,383,377,528,670,694
Gleneely,Donegal,...,...,...,166,208,236
Glengarriff,Cork,...,...,...,...,...,138
Glenties,Donegal,802,738,789,811,869,805
Glenville,Cork,...,...,...,...,...,531
Glin,Limerick,608,554,560,566,577,576
Gneevgullia,Kerry,239,230,239,233,256,256
Gob an Choire (Achill Sound),Mayo,229,277,355,302,275,238
Golden,Tipperary,293,262,268,255,269,267
Goresbridge,Kilkenny,354,407,401,376,361,347
Gorey,Wexford,"3,840","3,939","5,282","7,193","9,114","9,822"
Gormanston,Meath,819,435,504,355,500,375
Gort,Galway,"1,093","1,182","1,776","2,734","2,644","2,994"
Gort an Choirce (Gortahork),Donegal,...,152,155,149,197,185
Gortnahoo,Tipperary,...,...,207,219,304,286
Gowran,Kilkenny,477,476,454,487,742,804
Grahormac,Wexford,...,...,162,309,466,439
Graiguenamanagh - Tinnahinch,Carlow / Kilkenny,"1,395","1,374","1,435","1,376","1,543","1,475"
Granard,Longford,"1,221","1,173","1,013",933,"1,021",816
Grange,Sligo,...,...,225,383,578,586
Grangemore,Kildare,...,...,171,189,215,217
Greencastle,Donegal,588,547,570,530,817,831
Grenagh,Cork,...,...,...,...,562,579
Greystones - Delgany,Wicklow,"10,778","11,296","11,913","14,569","17,468","18,140"
Gurteen,Sligo,233,257,250,269,349,393
Hacketstown,Carlow,707,628,614,606,600,597
Halfway,Cork,...,...,...,...,201,226
Headford,Galway,600,574,703,760,889,973
Holycross,Tipperary,396,447,610,700,714,715
Hospital,Limerick,723,723,621,628,630,653
Inagh,Clare,...,...,...,170,204,210
Inchigeelagh,Cork,149,156,157,166,160,153
Inistioge,Kilkenny,261,260,266,263,260,285
Inniscrone (Enniscrone),Sligo,610,692,668,829,"1,223","1,156"
Innishannon,Cork,319,498,679,678,767,907
Inniskeen,Monaghan,372,362,310,292,265,273
Irishtown,Mayo,...,...,...,...,...,129
Jenkinstown,Louth,270,233,263,237,323,360
Johnstown,Kildare,...,...,...,899,"1,004","1,005"
Johnstown,Kilkenny,422,460,517,445,472,444
Johnstownbridge,Kildare,...,...,211,535,650,683
Julianstown,Meath,450,424,422,615,616,681
Kanturk,Cork,"1,777","1,666","1,651","1,915","2,263","2,350"
Keadew,Roscommon,...,...,194,219,187,154
Keel - Dooagh,Mayo,557,518,541,561,582,541
Keenagh,Longford,218,223,225,241,498,581
Kells (Ceannanus Mór),Meath,"3,539","3,542","4,421","5,248","5,888","6,135"
Kells,Kilkenny,...,...,176,268,281,274
Kenmare,Kerry,"1,366","1,420","1,844","1,701","2,175","2,376"
Kentstown,Meath,333,324,355,912,"1,099","1,179"
Kernanstown,Carlow,287,277,244,230,221,214
Keshcarrigan,Leitrim,...,...,...,...,...,155
Kilbeggan,Westmeath,617,627,652,822,"1,199","1,288"
Kilberry,Kildare,501,466,417,421,408,400
Kilbrin,Cork,...,...,...,...,174,186
Kilbrittain,Cork,...,...,...,185,196,216
Kilcloon,Meath,351,345,309,281,264,280
Kilcock,Kildare,"1,551","1,825","2,740","4,100","5,533","6,093"
Kilcolgan,Galway,...,...,...,...,...,141
Kilcoole,Wicklow,"2,485","2,694","2,826","3,252","4,049","4,239"
Kilcormac (Frankford),Offaly,973,889,879,847,870,935
Kilcrohane,Cork,...,...,...,...,90,127
Kilcullen,Kildare,"1,664","1,604","1,483","2,985","3,473","3,710"
Kilcummin,Kerry,...,...,...,...,368,435
Kildalkey,Meath,...,149,137,518,663,708
Kildangan,Kildare,...,...,...,...,299,317
Kildare,Kildare,"4,196","4,278","5,694","7,538","8,142","8,634"
Kildavin,Carlow,...,...,...,170,194,184
Kildimo,Limerick,...,...,...,...,409,417
Kildorrery,Cork,236,229,215,213,301,357
Kildrum,Donegal,...,...,267,542,581,534
Kildysart,Clare,325,301,271,311,378,386
Kilfenora,Clare,...,...,128,169,220,175
Kilfinane,Limerick,808,766,779,727,778,789
Kilflynn,Kerry,...,...,...,...,126,151
Kilgarvan,Kerry,171,175,156,164,181,172
Kilkee,Clare,"1,315","1,331","1,260","1,325","1,139",972
Kilkelly,Mayo,263,258,230,389,372,373
Kilkenny,Kilkenny,"17,669","18,696","20,735","22,179","24,423","26,512"
Kilkishen,Clare,406,379,324,443,520,561
Kill,Kildare,"1,518","1,711","2,246","2,510","3,095","3,348"
Kill,Waterford,...,...,173,194,281,271
Killala,Mayo,713,657,650,569,574,562
Killaloe,Clare,956,972,"1,174","1,035","1,292","1,484"
Killarney,Kerry,"9,950","12,011","13,137","14,603","14,219","14,504"
Killashee,Longford,...,...,...,...,208,215
Killavullen,Cork,231,245,224,214,257,267
Killeagh,Cork,347,362,426,521,721,899
Killeigh,Offaly,...,211,183,159,197,212
Killenard,Laois,...,...,...,...,622,671
Killenaule,Tipperary,701,725,715,597,713,652
Killeshandra,Cavan,469,427,417,411,364,388
Killimor,Galway,253,256,345,318,335,336
Killinierin,Wexford,...,...,...,...,217,244
Killorglin,Kerry,"1,229","1,278","1,359","1,627","2,082","2,199"
Killucan - Rathwire,Westmeath,366,357,575,812,"1,226","1,370"
Killumney,Cork,265,509,522,809,"1,046","1,132"
Killurin,Offaly,...,...,...,...,163,142
Killurin,Wexford,...,...,...,...,...,166
Killybegs,Donegal,"1,522","1,408","1,396","1,280","1,297","1,236"
Killygordan,Donegal,...,390,399,357,608,614
Kilmacanogue,Wicklow,763,818,834,839,"1,028","1,042"
Kilmacow,Kilkenny,596,599,566,526,627,647
Kilmacrennan,Donegal,393,363,430,575,685,753
Kilmacthomas,Waterford,694,681,717,783,871,834
Kilmaine,Mayo,...,...,184,142,166,147
Kilmainham,Meath,...,...,237,330,312,316
Kilmaley,Clare,...,...,...,...,...,202
Kilmallock,Limerick,"1,311","1,231","1,362","1,443","1,635","1,668"
Kilmeade (Kilmead),Kildare,...,...,...,138,299,309
Kilmeaden,Waterford,...,...,...,...,193,259
Kilmeage,Kildare,418,451,436,683,997,"1,082"
Kilmessan,Meath,242,230,292,341,586,654
Kilmihill,Clare,339,357,325,362,426,434
Kilmoganny,Kilkenny,237,247,236,228,226,245
Kilmore,Wexford,...,...,...,...,...,132
Kilmore Quay,Wexford,424,406,417,396,400,372
Kilmuckeridge (Ford),Wexford,223,235,378,467,654,722
Kilmurry (Ballymulcashel),Clare,...,...,255,278,291,280
Kilmyshall,Wexford,...,...,...,...,140,149
Kilnaleck,Cavan,279,253,305,334,384,393
Kilpedder,Wicklow,406,480,517,480,"1,287","1,255"
Kilrane,Wexford,214,301,309,432,594,647
Kilrush,Clare,"2,740","2,594","2,699","2,694","2,695","2,719"
Kilsheelan,Tipperary,435,461,497,520,809,812
Kilteel,Kildare,...,...,...,...,225,214
Kilteely,Limerick,...,...,...,198,214,171
Kiltimagh,Mayo,952,917,"1,000","1,096","1,127","1,069"
Kilworth,Cork,403,441,427,645,974,"1,055"
Kingscourt,Cavan,"1,260","1,190","1,307","1,748","2,326","2,499"
Kinlough,Leitrim,305,286,335,690,"1,018","1,032"
Kinnegad,Westmeath,415,517,"1,296","2,245","2,662","2,745"
Kinnitty,Offaly,265,249,226,333,359,381
Kinsale,Cork,"2,751","3,064","3,554","4,099","4,893","5,281"
Kinsaley,Fingal,...,...,...,...,214,264
Kinsealy - Drinan,Fingal,"2,084","2,182","2,110","3,651","5,814","6,643"
Kinvara,Galway,425,432,447,563,620,734
Knightstown,Kerry,204,191,172,156,215,243
Knock,Mayo,440,575,595,745,811,972
Knockananna,Wicklow,...,...,...,...,141,143
Knockbridge,Louth,292,274,335,427,583,667
Knockcroghery,Roscommon,...,...,...,...,307,351
Knockglass,Cork,...,...,239,288,443,658
Knocklong,Limerick,257,248,204,239,265,256
Knocknagree,Cork,199,193,204,189,199,188
Knockraha,Cork,...,...,...,230,341,371
Knocktopher,Kilkenny,...,...,...,...,144,166
Lackaghbeg,Galway,...,...,220,446,504,545
Ladytown,Kildare,...,...,242,358,452,460
Laghy,Donegal,151,144,174,169,197,183
Lahardane,Mayo,...,...,...,...,156,178
Lahinch,Clare,550,580,625,607,642,638
Lanesborough - Ballyleague,Longford / Roscommon,"1,054",984,943,"1,112","1,377","1,454"
Laragh,Wicklow,248,267,357,378,340,342
Lawcus - Stoneyford,Kilkenny,...,...,273,342,355,376
Laytown - Bettystown - Mornington - Donacarney,Meath,"3,360","3,678","5,597","8,978","10,889","11,872"
Leap,Cork,169,168,160,242,240,257
Legan,Longford,...,...,...,...,199,215
Leighlinbridge,Carlow,510,508,646,674,828,914
Leitrim,Leitrim,...,...,...,258,485,594
Leixlip,Kildare,"13,194","13,451","15,016","14,676","15,452","15,504"
Lemybrien,Waterford,222,197,210,194,206,192
Letterkenny,Donegal,"10,726","11,996","15,231","17,586","19,588","19,274"
Lifford,Donegal,"1,359","1,275","1,395","1,448","1,658","1,626"
Limerick,Limerick / Clare,"75,436","79,137","86,998","90,757","91,454","94,192"
Liscannor,Clare,...,...,108,71,129,113
Liscarroll,Cork,284,279,256,256,230,249
Lisdoonvarna,Clare,842,890,822,767,739,829
Lismore,Waterford,"1,095","1,095","1,182","1,240","1,369","1,374"
Lisronagh,Tipperary,...,...,...,...,187,184
Lissycasey,Clare,...,...,...,...,308,325
Listowel,Kerry,"3,597","3,656","3,999","4,338","4,832","4,820"
Littleton,Tipperary,566,544,500,463,410,394
Lixnaw,Kerry,260,263,248,431,634,696
Loch an Iúir (Loughanure),Donegal,286,262,312,307,337,313
Longford,Longford,"6,824","6,984","7,557","8,836","9,601","10,008"
Longwood,Meath,...,186,480,877,"1,378","1,581"
Lordship,Louth,...,...,...,...,...,486
Loughglinn,Roscommon,184,186,182,208,204,184
Lough Gowna,Cavan,...,...,...,123,161,149
Loughrea,Galway,"3,271","3,335","4,004","4,532","5,062","5,556"
Loughshinny,Fingal,606,614,663,641,670,666
Louisburgh,Mayo,177,150,207,314,422,434
Louth,Louth,373,401,514,549,715,735
Lusk,Fingal,"2,071","2,287","2,456","5,236","7,022","7,786"
Lyre,Cork,...,...,...,...,134,163
Macroom,Cork,"2,363","2,574","2,985","3,553","3,879","3,765"
Maddenstown,Kildare,215,189,179,154,145,133
Maigh Cuilinn (Moycullen),Galway,545,601,883,"1,237","1,559","1,704"
Malahide,Fingal,"12,088","13,539","13,826","14,937","15,846","16,550"
Malin,Donegal,...,...,...,122,106,92
Mallow,Cork,"7,521","7,768","8,937","10,241","11,605","12,459"
Manorcunningham,Donegal,455,404,320,414,643,675
Manorhamilton,Leitrim,995,"1,008",927,"1,158","1,336","1,466"
Manor Kilbride,Wicklow,...,...,...,...,281,272
Maynooth,Kildare,"6,027","8,528","10,151","10,715","12,510","14,585"
Meathas Truim (Edgeworthstown),Longford,801,737,726,"1,221","1,744","2,072"
Midleton,Cork,"5,951","6,209","7,957","10,048","12,001","12,496"
Milford,Cork,256,208,204,176,251,247
Milford,Donegal,864,816,793,829,970,"1,037"
Millstreet,Cork,"1,300","1,226","1,289","1,401","1,574","1,555"
Milltown,Kerry,341,332,332,415,838,928
Milltown,Kildare,311,297,271,242,365,344
Milltown,Galway,...,...,...,...,199,207
Miltown Malbay,Clare,615,626,562,570,777,829
Mín Lárach (Meenlaragh),Donegal,465,440,430,372,442,420
Mitchelstown,Cork,"3,090","3,123","3,300","3,365","3,677","3,740"
Moate,Westmeath,"1,529","1,452","1,520","1,888","2,731","2,763"
Model Village (Dripsey),Cork,319,319,295,304,345,380
Mogeely,Cork,...,...,...,...,327,389
Mohill,Leitrim,796,808,786,931,928,855
Monaghan,Monaghan,"5,946","5,842","5,936","6,710","7,452","7,678"
Monard,Tipperary,...,...,...,...,205,212
Monasterevin,Kildare,"2,224","2,302","2,583","3,017","3,710","4,246"
Moneenroe,Kilkenny,640,655,678,688,761,722
Moneygall,Offaly,344,332,291,298,310,313
Monivea,Galway,310,298,300,337,296,308
Mooncoin,Kilkenny,810,855,854,"1,002","1,166","1,175"
Moroe,Limerick,419,435,464,624,"1,271","1,377"
Mount Bellew,Galway,539,547,667,746,784,774
Mountcharles,Donegal,413,428,432,497,468,484
Mountcollins,Limerick,263,271,230,221,216,201
Mountmellick,Laois,"3,003","2,912","3,361","4,069","4,735","4,777"
Mountrath,Laois,"1,375","1,298","1,331","1,435","1,661","1,774"
Mountshannon,Clare,...,...,...,133,152,200
Moville,Donegal,"1,392","1,394","1,465","1,427","1,481","1,480"
Moylough,Galway,199,209,236,357,503,518
Mucklagh,Offaly,374,342,521,708,810,826
Muff,Donegal,257,334,773,947,"1,271","1,226"
Muinebeag (Bagenalstown),Carlow,"2,700","2,695","2,728","2,735","2,950","2,837"
Mullagh,Cavan,426,403,479,679,"1,137","1,348"
Mullaghmore,Sligo,124,164,137,147,128,136
Mullinahone,Tipperary,379,358,348,372,481,499
Mullinavat,Kilkenny,283,275,309,255,259,233
Mullingar,Westmeath,"11,867","12,492","15,621","18,416","20,103","20,928"
Mulranny,Mayo,...,...,...,...,242,289
Multyfarnham,Westmeath,...,...,153,193,376,420
Mungret,Limerick,307,292,248,252,286,277
Murntown,Wexford,244,184,243,347,363,365
Myshall,Carlow,...,...,...,200,302,286
Naas,Kildare,"11,141","14,074","18,288","20,044","20,713","21,393"
Na Forbacha (Furbogh),Galway,...,...,319,175,308,356
Narraghmore,Kildare,...,...,...,...,345,378
Naul,Fingal,...,...,215,196,445,568
Navan (An Uaimh),Meath,"11,706","12,810","19,417","24,851","28,559","30,173"
Nenagh,Tipperary,"5,825","5,913","6,454","7,751","8,439","8,968"
Newbawn,Wexford,...,...,169,204,184,177
Newbliss,Monaghan,326,299,270,317,331,327
Newcastle,South Dublin,"1,200","1,289","1,160","1,506","2,659","3,093"
Newcastle,Tipperary,193,186,201,245,328,352
Newcastle,Wicklow,633,763,851,837,951,924
Newcastle West,Limerick,"3,612","3,618","4,017","5,098","6,327","6,619"
Newmarket,Cork,"1,097","1,150","1,055",949,988,976
Newmarket-on-Fergus,Clare,"1,583","1,542","1,496","1,542","1,773","1,784"
Newport,Mayo,521,567,527,590,616,626
Newport,Tipperary,896,873,887,"1,286","1,806","1,995"
New Ross,Wexford / Kilkenny,"6,079","6,147","6,537","7,709","8,151","8,040"
Newtown (Newtownshandrum),Cork,184,184,224,321,405,394
Newtown,Laois,224,207,245,222,246,269
Newtown,Tipperary,...,...,...,191,296,309
Newtowncunningham,Donegal,610,594,663,999,"1,067","1,080"
Newtownforbes,Longford,429,470,561,668,759,778
Newtownmountkennedy,Wicklow,"2,321","2,528","2,521","2,548","2,410","2,835"
Newtownsandes,Kerry,365,370,326,387,401,381
New Twopothouse,Cork,...,...,...,...,...,120
Nobber,Meath,253,242,245,233,357,344
Nurney,Kildare,...,...,239,354,389,456
O'Briensbridge - Montpelier,Clare / Limerick,380,409,375,378,383,396
Oilgate (Oylegate),Wexford,262,262,265,324,385,358
Oldcastle,Meath,847,826,937,"1,316","1,384","1,383"
Oldtown,Fingal,...,...,162,220,455,497
Omeath,Louth,249,249,231,439,503,603
Oola,Limerick,474,444,391,386,311,324
Oram,Monaghan,...,...,...,...,145,186
Oranmore,Galway,"1,192","1,410","1,692","3,513","4,799","4,990"
Oughterard,Galway,711,751,"1,209","1,305","1,333","1,318"
Oulart,Wexford,...,...,...,197,257,274
Palatine,Carlow,...,...,...,...,351,398
Pallas Grean,Limerick,318,303,368,359,589,568
Pallaskenry,Limerick,469,519,550,534,664,651
Passage East,Waterford,542,573,636,644,806,827
Passage West,Cork,"3,606","3,922","4,595","5,203","5,790","5,843"
Patrickswell,Limerick,"1,019","1,022",998,924,841,847
Paulstown,Kilkenny,234,221,292,598,791,905
Pettigo (Irish part),Donegal,370,320,275,280,239,239
Piercetown,Wexford,256,309,471,528,555,535
Piltown,Kilkenny,717,716,778,968,"1,187","1,220"
Pollagh,Offaly,...,...,...,229,251,227
Portarlington,Laois / Offaly,"3,211","3,320","4,001","6,004","7,788","8,368"
Portlaoise (Maryborough),Laois,"8,360","9,474","12,127","14,613","20,145","22,050"
Portlaw,Waterford,"1,151","1,176","1,183","1,495","1,696","1,742"
Portmagee,Kerry,...,...,...,...,109,123
Portmarnock,Fingal,"9,173","9,145","8,376","8,979","9,285","9,466"
Portrane,Fingal,"2,153","1,924","1,726","1,532","1,372","1,236"
Portroe,Tipperary,314,411,401,454,468,461
Portumna,Galway,"1,017",984,"1,235","1,377","1,530","1,450"
Prosperous,Kildare,882,814,"1,523","1,939","2,248","2,333"
Puckaun,Tipperary,256,235,269,239,273,250
Quigleys Point,Donegal,...,...,...,...,227,199
Quilty,Clare,274,259,234,194,181,173
Quin,Clare,245,242,427,565,935,951
Raharney,Westmeath,254,232,232,231,227,221
Ramelton,Donegal,920,978,"1,051","1,088","1,212","1,266"
Rann na Feirste,Donegal,321,299,279,319,352,309
Raphoe,Donegal,"1,090","1,065",949,"1,065","1,157","1,089"
Rathangan,Kildare,"1,129","1,190","1,811","1,718","2,374","2,611"
Rathard - Aherla,Cork,...,...,172,389,560,571
Rathcoffey,Kildare,...,...,...,...,...,271
Rathcoole,South Dublin,"2,926","2,784","2,499","2,927","3,421","4,351"
Rathcoole,Cork,...,...,...,...,198,224
Rathcormac,Cork,365,382,429,"1,072","1,534","1,762"
Rathdowney,Laois,"1,092","1,066","1,111","1,212","1,208","1,271"
Rathdrum,Wicklow,"1,175","1,234","1,387","1,405","1,586","1,663"
Rathkeale,Limerick,"1,803","1,546","1,362","1,494","1,550","1,441"
Rathluirc (Charleville),Cork,"2,646","2,667","2,685","2,984","3,672","3,919"
Rathmolyon,Meath,211,206,194,168,298,334
Rathmore,Kerry,505,470,450,611,778,790
Rathmullen,Donegal,536,491,514,469,518,493
Rathnew,Wicklow,"1,496","1,437","1,441","1,849","2,964","3,370"
Rathowen,Westmeath,...,...,...,...,...,150
Rathtoe,Carlow,...,...,...,...,303,304
Rathvilly,Carlow,531,458,500,796,881,944
Ratoath,Meath,593,"1,061","3,794","7,249","9,043","9,533"
Reardnogy,Tipperary,...,...,159,137,176,156
Redcross,Wicklow,...,...,...,196,241,278
Rhode,Offaly,500,476,705,778,778,811
Ringaskiddy - Loughbeg,Cork,545,429,407,514,478,580
Rivermeade,Fingal,660,621,558,615,543,530
Riverstick,Cork,...,...,...,...,592,590
Riverstown,Sligo,274,266,273,310,374,334
Robertstown,Kildare,235,206,375,621,669,707
Rochfortbridge,Westmeath,721,724,"1,382","1,473","1,494","1,473"
Rockcorry,Monaghan,278,260,287,292,310,316
Roosky,Leitrim / Roscommon,249,220,198,329,523,564
Roscommon,Roscommon,"3,427","3,915","4,489","5,017","5,693","5,876"
Roscrea,Tipperary,"4,231","4,170","4,578","4,910","5,403","5,446"
Rosegreen,Tipperary,...,...,...,201,170,171
Rosscahill,Galway,...,...,...,240,295,306
Rosscarbery,Cork,455,406,437,507,534,490
Rosses Point,Sligo,707,799,774,872,824,883
Rosslare,Wexford,847,929,"1,145","1,359","1,547","1,620"
Roundstone,Galway,281,241,239,207,245,214
Roundwood,Wicklow,437,446,518,589,833,948
Rush,Fingal,"4,839","5,429","6,769","8,286","9,231","9,943"
Saggart,South Dublin,603,550,588,868,"2,144","3,133"
Saleen,Cork,...,...,...,...,374,445
Sallins,Kildare,783,854,"2,922","3,806","5,283","5,849"
Scarriff - Tuamgraney,Clare,789,763,807,798,816,770
Schull,Cork,579,595,693,576,658,700
Scotshouse,Monaghan,...,...,...,...,...,220
Scotstown,Monaghan,244,234,220,250,370,361
Shanagarry,Cork,242,230,291,297,414,538
Shanagolden,Limerick,416,412,373,292,294,303
Shanbally,Cork,...,...,...,...,337,349
Shanballymore,Cork,...,...,...,...,160,165
Shannon,Clare,"7,920","7,939","8,561","9,222","9,673","9,729"
Shannonbridge,Offaly,312,266,248,221,206,175
Shercock,Cavan,371,380,454,461,531,588
Shillelagh,Wicklow,326,324,278,311,341,337
Shinrone,Offaly,455,479,488,591,634,645
Shrule,Mayo,246,337,326,425,418,432
Silvermines,Tipperary,209,202,257,269,288,310
Sixmilebridge,Clare,"1,191","1,144","1,327","1,659","2,507","2,625"
Skerries,Fingal,"7,032","7,339","9,149","9,535","9,671","10,043"
Skibbereen,Cork,"1,892","1,926","2,000","2,338","2,670","2,778"
Slane,Meath,699,688,823,"1,099","1,349","1,369"
Slieverue,Kilkenny,275,296,461,484,499,476
Sligo,Sligo,"17,964","18,509","19,735","19,402","19,452","19,199"
Smithborough,Monaghan,236,232,240,309,363,395
Sneem,Kerry,292,296,285,279,258,288
Spa,Kerry,398,394,424,417,460,443
Stamullen,Meath,396,427,779,"2,487","3,130","3,361"
St. Johnston,Donegal,442,453,470,479,583,523
Stradbally,Laois,"1,046","1,047","1,178","1,056","1,154","1,350"
Stradbally,Waterford,251,262,298,391,420,438
Straffan,Kildare,341,341,332,439,635,853
Strandhill,Sligo,654,764,"1,002","1,413","1,596","1,753"
Stratford (Stratford-on-Slaney),Wicklow,...,...,151,163,217,241
Strokestown,Roscommon,568,572,631,773,814,825
Summerhill,Meath,368,502,668,799,832,878
Suncroft,Kildare,520,490,498,607,735,746
Swanlinbar,Cavan,188,191,223,266,211,207
Swinford,Mayo,"1,216","1,386","1,497","1,502","1,435","1,394"
Swords,Fingal,"17,705","22,314","27,175","33,998","36,924","39,248"
Taghmon,Wexford,676,619,625,674,623,585
Tallanstown,Louth,439,408,443,653,673,674
Tallow,Waterford,858,802,845,911,962,946
Tarbert,Kerry,679,605,548,550,551,540
Templemore,Tipperary,"2,325","2,244","2,270","2,384","2,071","1,939"
Templetuohy,Tipperary,238,293,325,322,323,282
Termonbarry (Tarmonbarry),Roscommon,...,...,...,...,...,443
Termonfeckin,Louth,589,530,503,653,"1,443","1,579"
The Ballagh,Wexford,...,...,...,...,477,515
The Commons,Tipperary,...,...,...,...,152,150
The Swan,Laois,...,...,...,...,213,216
Thomastown,Kilkenny,"1,487","1,581","1,600","1,837","2,273","2,445"
Thurles,Tipperary,"6,955","6,939","7,425","7,682","7,933","7,940"
Tievebane,Donegal,212,236,267,235,351,345
Timoleague,Cork,304,285,323,365,373,381
Tinahely,Wicklow,628,630,692,965,970,937
Tinriland (Tinryland),Carlow,326,331,371,243,418,378
Tinure,Louth,...,...,296,387,456,464
Tipperary,Tipperary,"4,963","4,854","4,964","5,065","5,310","4,979"
Toomevara,Tipperary,411,362,321,286,311,280
Toornafulla,Limerick,...,...,...,...,152,144
Tower,Cork,"1,402","1,841","3,032","3,102","3,306","3,421"
Tralee,Kerry,"17,862","19,950","21,987","22,744","23,693","23,691"
Tramore,Waterford,"6,064","6,536","8,305","9,634","10,328","10,381"
Trim,Meath,"4,185","4,405","5,894","6,870","8,268","9,194"
Tuam,Galway,"5,540","5,627","5,947","6,885","8,242","8,767"
Tubbercurry,Sligo,"1,069","1,089","1,171","1,421","1,747","1,986"
Tulla,Clare,398,382,414,645,662,661
Tullaghan,Leitrim,...,...,...,216,228,253
Tullamore,Offaly,"9,430","10,039","11,098","12,927","14,361","14,607"
Tullow,Carlow,"2,424","2,364","2,417","3,048","3,972","4,673"
Tullyallen,Louth,393,429,617,"1,036","1,358","1,547"
Tulsk,Roscommon,...,...,...,...,195,241
Turlough,Mayo,...,...,...,...,272,299
Turloughmore,Galway,...,...,...,...,...,240
Twomileborris,Tipperary,298,325,474,550,548,572
Tyrrellspass,Westmeath,376,396,443,493,506,483
Unionhall,Cork,202,206,202,192,252,270
Urlingford,Kilkenny,689,689,739,867,973,"1,038"
Villierstown,Waterford,...,...,192,260,279,276
Virginia,Cavan,720,811,"1,093","1,734","2,282","2,648"
Waterford,Waterford / Kilkenny,"41,853","44,155","46,736","49,213","51,519","53,504"
Watergrasshill,Cork,250,252,386,860,"1,161","1,346"
Waterville - Spunkane,Kerry,463,466,538,546,465,462
Westport,Mayo,"3,688","4,520","5,634","5,475","6,063","6,198"
Wexford,Wexford,"15,393","15,862","17,235","18,163","20,072","20,188"
Whitechurch,Cork,...,...,...,408,573,665
Whitegate,Cork,289,293,440,765,"1,067","1,154"
Whitegate,Clare,193,200,193,218,176,168
Wicklow,Wicklow,"6,215","7,290","9,355","10,070","10,356","10,584"
Williamstown,Galway,...,...,...,...,155,148
Woodford,Galway,265,298,280,301,282,239
Youghal,Cork,"5,828","5,943","6,597","6,785","7,794","7,963"