Client ID,Uptake Rate,Likelihood Category
10001,0.197,Very Low Likelihood
10002,0.109,Very Low Likelihood
10003,1.298,Very Low Likelihood
10004,1.401,Very Low Likelihood
10005,0.277,Very Low Likelihood
10006,14.517,Very Low Likelihood
10007,0.159,Very Low Likelihood
10008,2.76,Very Low Likelihood
10009,0.287,Very Low Likelihood
10010,2.236,Very Low Likelihood
10011,1.326,Very Low Likelihood
10012,1.028,Very Low Likelihood
10013,1.985,Very Low Likelihood
10014,0.161,Very Low Likelihood
10015,0.158,Very Low Likelihood
10016,0.124,Very Low Likelihood
10017,0.14,Very Low Likelihood
10018,0.178,Very Low Likelihood
10019,0.343,Very Low Likelihood
10020,0.635,Very Low Likelihood
10021,19.325,Very Low Likelihood
10022,0.289,Very Low Likelihood
10023,0.344,Very Low Likelihood
10024,0.354,Very Low Likelihood
10025,0.183,Very Low Likelihood
10026,0.263,Very Low Likelihood
10027,1.664,Very Low Likelihood
10028,0.163,Very Low Likelihood
10029,0.145,Very Low Likelihood
10030,0.159,Very Low Likelihood
10031,0.458,Very Low Likelihood
10032,6.611,Very Low Likelihood
10033,0.102,Very Low Likelihood
10034,0.122,Very Low Likelihood
10035,0.689,Very Low Likelihood
10036,0.177,Very Low Likelihood
10037,0.158,Very Low Likelihood
10038,1.65,Very Low Likelihood
10039,14.223,Very Low Likelihood
10040,8.216,Very Low Likelihood
10041,85.574,Very High Likelihood
10042,33.681,Low Likelihood
10043,0.503,Very Low Likelihood
10044,21.668,Very Low Likelihood
10045,60.236,Medium Likelihood
10046,60.07,Medium Likelihood
10047,14.798,Very Low Likelihood
10048,56.973,Medium Likelihood
10049,2.885,Very Low Likelihood
10050,1.519,Very Low Likelihood
10051,46.872,Low Likelihood
10052,0.697,Very Low Likelihood
10053,31.538,Low Likelihood
10054,0.607,Very Low Likelihood
10055,0.319,Very Low Likelihood
10056,1.071,Very Low Likelihood
10057,56.962,Medium Likelihood
10058,4.355,Very Low Likelihood
10059,0.616,Very Low Likelihood
10060,44.82,Low Likelihood
10061,95.35,Very High Likelihood
10062,1.294,Very Low Likelihood
10063,3.427,Very Low Likelihood
10064,43.944,Low Likelihood
10065,87.959,Very High Likelihood
10066,0.792,Very Low Likelihood
10067,15.712,Very Low Likelihood
10068,56.975,Medium Likelihood
10069,79.454,High Likelihood
10070,39.16,Low Likelihood
10071,0.231,Very Low Likelihood
10072,1.935,Very Low Likelihood
10073,7.683,Very Low Likelihood
10074,4.44,Very Low Likelihood
10075,0.238,Very Low Likelihood
10076,1.44,Very Low Likelihood
10077,41.113,Low Likelihood
10078,12.39,Very Low Likelihood
10079,1.852,Very Low Likelihood
10080,0.819,Very Low Likelihood
10081,90.961,Very High Likelihood
10082,3.216,Very Low Likelihood
10083,0.381,Very Low Likelihood
10084,1.517,Very Low Likelihood
10085,2.283,Very Low Likelihood
10086,0.33,Very Low Likelihood
10087,50.355,Medium Likelihood
10088,43.283,Low Likelihood
10089,67.751,Medium Likelihood
10090,12.814,Very Low Likelihood
10091,33.975,Low Likelihood
10092,0.585,Very Low Likelihood
10093,19.728,Very Low Likelihood
10094,9.726,Very Low Likelihood
10095,21.705,Very Low Likelihood
10096,46.475,Low Likelihood
10097,93.366,Very High Likelihood
10098,74.847,High Likelihood
10099,2.189,Very Low Likelihood
10100,0.34,Very Low Likelihood
10101,3.061,Very Low Likelihood
10102,0.427,Very Low Likelihood
10103,26.148,Low Likelihood
10104,16.855,Very Low Likelihood
10105,15.569,Very Low Likelihood
10106,0.231,Very Low Likelihood
10107,22.965,Very Low Likelihood
10108,88.532,Very High Likelihood
10109,99.917,Very High Likelihood
10110,9.695,Very Low Likelihood
10111,62.29,Medium Likelihood
10112,81.993,High Likelihood
10113,99.108,Very High Likelihood
10114,6.736,Very Low Likelihood
10115,81.833,High Likelihood
10116,71.833,High Likelihood
10117,99.199,Very High Likelihood
10118,10.737,Very Low Likelihood
10119,84.357,High Likelihood
10120,15.402,Very Low Likelihood
10121,17.678,Very Low Likelihood
10122,47.417,Low Likelihood
10123,74.409,High Likelihood
10124,1.236,Very Low Likelihood
10125,99.655,Very High Likelihood
10126,1.567,Very Low Likelihood
10127,5.744,Very Low Likelihood
10128,59.84,Medium Likelihood
10129,88.247,Very High Likelihood
10130,18.612,Very Low Likelihood
10131,84.284,High Likelihood
10132,10.598,Very Low Likelihood
10133,99.683,Very High Likelihood
10134,11.684,Very Low Likelihood
10135,5.066,Very Low Likelihood
10136,21.093,Very Low Likelihood
10137,99.865,Very High Likelihood
10138,4.58,Very Low Likelihood
10139,88.893,Very High Likelihood
10140,65.953,Medium Likelihood
10141,99.752,Very High Likelihood
10142,62.552,Medium Likelihood
10143,60.263,Medium Likelihood
10144,48.425,Low Likelihood
10145,9.293,Very Low Likelihood
10146,90.413,Very High Likelihood
10147,16.554,Very Low Likelihood
10148,0.182,Very Low Likelihood
10149,6.196,Very Low Likelihood
10150,9.724,Very Low Likelihood
10151,69.92,Medium Likelihood
10152,2.82,Very Low Likelihood
10153,98.979,Very High Likelihood
10154,13.037,Very Low Likelihood
10155,4.383,Very Low Likelihood
10156,83.326,High Likelihood
10157,99.097,Very High Likelihood
10158,18.525,Very Low Likelihood
10159,92.794,Very High Likelihood
10160,77.219,High Likelihood
10161,10.161,Very Low Likelihood
10162,92.542,Very High Likelihood
10163,86.475,Very High Likelihood
10164,5.768,Very Low Likelihood
10165,81.276,High Likelihood
10166,17.759,Very Low Likelihood
10167,17.511,Very Low Likelihood
10168,89.34,Very High Likelihood
10169,93.387,Very High Likelihood
10170,0.761,Very Low Likelihood
10171,0.804,Very Low Likelihood
10172,1.158,Very Low Likelihood
10173,33.835,Low Likelihood
10174,37.053,Low Likelihood
10175,0.235,Very Low Likelihood
10176,98.125,Very High Likelihood
10177,99.026,Very High Likelihood
10178,92.053,Very High Likelihood
10179,1.766,Very Low Likelihood
10180,97.268,Very High Likelihood
10181,83.858,High Likelihood
10182,91.684,Very High Likelihood
10183,49.664,Low Likelihood
10184,6.73,Very Low Likelihood
10185,60.016,Medium Likelihood
10186,87.971,Very High Likelihood
10187,68.604,Medium Likelihood
10188,1.097,Very Low Likelihood
10189,99.447,Very High Likelihood
10190,2.076,Very Low Likelihood
10191,9.946,Very Low Likelihood
10192,83.262,High Likelihood
10193,83.456,High Likelihood
10194,97.103,Very High Likelihood
10195,94.038,Very High Likelihood
10196,31.605,Low Likelihood
10197,84.447,High Likelihood
10198,1.242,Very Low Likelihood
10199,41.023,Low Likelihood
10200,75.789,High Likelihood
10201,97.934,Very High Likelihood
10202,0.972,Very Low Likelihood
10203,84.794,High Likelihood
10204,23.159,Very Low Likelihood
10205,91.349,Very High Likelihood
10206,70.809,High Likelihood
10207,84.907,High Likelihood
10208,74.897,High Likelihood
10209,74.059,High Likelihood
10210,83.015,High Likelihood
10211,7.478,Very Low Likelihood
10212,88.353,Very High Likelihood
10213,99.812,Very High Likelihood
10214,0.576,Very Low Likelihood
10215,82.182,High Likelihood
10216,7.924,Very Low Likelihood
10217,76.363,High Likelihood
10218,69.365,Medium Likelihood
10219,95.126,Very High Likelihood
10220,19.925,Very Low Likelihood
10221,39.103,Low Likelihood
10222,7.806,Very Low Likelihood
10223,2.266,Very Low Likelihood
10224,91.109,Very High Likelihood
10225,98.929,Very High Likelihood
10226,82.799,High Likelihood
10227,31.28,Low Likelihood
10228,80.086,High Likelihood
10229,95.285,Very High Likelihood
10230,19.563,Very Low Likelihood
10231,67.874,Medium Likelihood
10232,94.488,Very High Likelihood
10233,99.171,Very High Likelihood
10234,63.395,Medium Likelihood
10235,91.6,Very High Likelihood
10236,78.255,High Likelihood
10237,34.84,Low Likelihood
10238,0.259,Very Low Likelihood
10239,86.716,Very High Likelihood
10240,39.936,Low Likelihood
10241,79.597,High Likelihood
10242,8.381,Very Low Likelihood
10243,83.491,High Likelihood
10244,47.503,Low Likelihood
10245,4.038,Very Low Likelihood
10246,6.644,Very Low Likelihood
10247,0.92,Very Low Likelihood
10248,1.496,Very Low Likelihood
10249,93.067,Very High Likelihood
10250,70.273,High Likelihood
10251,1.051,Very Low Likelihood
10252,1.734,Very Low Likelihood
10253,98.189,Very High Likelihood
10254,96.517,Very High Likelihood
10255,7.104,Very Low Likelihood
10256,73.413,High Likelihood
10257,43.697,Low Likelihood
10258,68.466,Medium Likelihood
10259,29.176,Low Likelihood
10260,80.388,High Likelihood
10261,98.178,Very High Likelihood
10262,3.254,Very Low Likelihood
10263,0.376,Very Low Likelihood
10264,8.775,Very Low Likelihood
10265,84.938,High Likelihood
10266,89.253,Very High Likelihood
10267,50.555,Medium Likelihood
10268,95.963,Very High Likelihood
10269,99.891,Very High Likelihood
10270,35.316,Low Likelihood
10271,98.331,Very High Likelihood
10272,7.459,Very Low Likelihood
10273,45.935,Low Likelihood
10274,51.127,Medium Likelihood
10275,7.175,Very Low Likelihood
10276,14.607,Very Low Likelihood
10277,83.89,High Likelihood
10278,1.216,Very Low Likelihood
10279,9.694,Very Low Likelihood
10280,96.501,Very High Likelihood
10281,43.075,Low Likelihood
10282,77.393,High Likelihood
10283,1.424,Very Low Likelihood
10284,88.05,Very High Likelihood
10285,99.855,Very High Likelihood
10286,54.693,Medium Likelihood
10287,21.814,Very Low Likelihood
10288,7.459,Very Low Likelihood
10289,12.721,Very Low Likelihood
10290,14.59,Very Low Likelihood
10291,97.808,Very High Likelihood
10292,90.252,Very High Likelihood
10293,97.805,Very High Likelihood
10294,86.012,Very High Likelihood
10295,33.404,Low Likelihood
10296,5.009,Very Low Likelihood
10297,77.159,High Likelihood
10298,54.264,Medium Likelihood
10299,94.871,Very High Likelihood
10300,1.023,Very Low Likelihood
10301,5.852,Very Low Likelihood
10302,13.906,Very Low Likelihood
10303,91.991,Very High Likelihood
10304,77.952,High Likelihood
10305,99.43,Very High Likelihood
10306,97.706,Very High Likelihood
10307,14.703,Very Low Likelihood
10308,87.4,Very High Likelihood
10309,90.796,Very High Likelihood
10310,2.645,Very Low Likelihood
10311,44.021,Low Likelihood
10312,54.585,Medium Likelihood
10313,98.162,Very High Likelihood
10314,5.766,Very Low Likelihood
10315,40.685,Low Likelihood
10316,17.169,Very Low Likelihood
10317,97.754,Very High Likelihood
10318,97.654,Very High Likelihood
10319,55.332,Medium Likelihood
10320,2.346,Very Low Likelihood
10321,99.165,Very High Likelihood
10322,0.965,Very Low Likelihood
10323,46.886,Low Likelihood
10324,3.055,Very Low Likelihood
10325,25.791,Low Likelihood
10326,89.929,Very High Likelihood
10327,10.472,Very Low Likelihood
10328,7.396,Very Low Likelihood
10329,94.198,Very High Likelihood
10330,14.574,Very Low Likelihood
10331,28.579,Low Likelihood
10332,0.782,Very Low Likelihood
10333,45.476,Low Likelihood
10334,3.384,Very Low Likelihood
10335,92.253,Very High Likelihood
10336,9.37,Very Low Likelihood
10337,92.138,Very High Likelihood
10338,97.284,Very High Likelihood
10339,96.062,Very High Likelihood
10340,26.964,Low Likelihood
10341,87.797,Very High Likelihood
10342,89.627,Very High Likelihood
10343,1.996,Very Low Likelihood
10344,2.333,Very Low Likelihood
10345,59.753,Medium Likelihood
10346,0.356,Very Low Likelihood
10347,0.622,Very Low Likelihood
10348,96.619,Very High Likelihood
10349,68.11,Medium Likelihood
10350,1.599,Very Low Likelihood
10351,69.506,Medium Likelihood
10352,49.742,Low Likelihood
10353,77.135,High Likelihood
10354,34.672,Low Likelihood
10355,53.341,Medium Likelihood
10356,69.902,Medium Likelihood
10357,38.71,Low Likelihood
10358,23.912,Very Low Likelihood
10359,5.256,Very Low Likelihood
10360,57.929,Medium Likelihood
10361,91.859,Very High Likelihood
10362,32.421,Low Likelihood
10363,85.199,Very High Likelihood
10364,4.75,Very Low Likelihood
10365,99.583,Very High Likelihood
10366,97.52,Very High Likelihood
10367,97.265,Very High Likelihood
10368,8.369,Very Low Likelihood
10369,44.647,Low Likelihood
10370,1.024,Very Low Likelihood
10371,3.14,Very Low Likelihood
10372,70.109,High Likelihood
10373,87.039,Very High Likelihood
10374,4.733,Very Low Likelihood
10375,3.1,Very Low Likelihood
10376,3.527,Very Low Likelihood
10377,98.393,Very High Likelihood
10378,17.013,Very Low Likelihood
10379,8.171,Very Low Likelihood
10380,94.756,Very High Likelihood
10381,41.368,Low Likelihood
10382,61.187,Medium Likelihood
10383,1.145,Very Low Likelihood
10384,3.937,Very Low Likelihood
10385,99.782,Very High Likelihood
10386,23.969,Very Low Likelihood
10387,98.23,Very High Likelihood
10388,5.622,Very Low Likelihood
10389,99.126,Very High Likelihood
10390,69.079,Medium Likelihood
10391,1.917,Very Low Likelihood
10392,1.365,Very Low Likelihood
10393,97.491,Very High Likelihood
10394,2.261,Very Low Likelihood
10395,47.914,Low Likelihood
10396,4.296,Very Low Likelihood
10397,94.2,Very High Likelihood
10398,37.398,Low Likelihood
10399,16.338,Very Low Likelihood
10400,99.166,Very High Likelihood
10401,12.53,Very Low Likelihood
10402,98.274,Very High Likelihood
10403,2.826,Very Low Likelihood
10404,29.643,Low Likelihood
10405,99.696,Very High Likelihood
10406,96.363,Very High Likelihood
10407,86.5,Very High Likelihood
10408,90.65,Very High Likelihood
10409,72.116,High Likelihood
10410,92.107,Very High Likelihood
10411,8.929,Very Low Likelihood
10412,30.568,Low Likelihood
10413,17.373,Very Low Likelihood
10414,64.571,Medium Likelihood
10415,74.501,High Likelihood
10416,44.185,Low Likelihood
10417,10.146,Very Low Likelihood
10418,2.73,Very Low Likelihood
10419,85.202,Very High Likelihood
10420,79.363,High Likelihood
10421,96.424,Very High Likelihood
10422,87.096,Very High Likelihood
10423,10.053,Very Low Likelihood
10424,13.466,Very Low Likelihood
10425,81.391,High Likelihood
10426,31.699,Low Likelihood
10427,97.449,Very High Likelihood
10428,89.98,Very High Likelihood
10429,17.899,Very Low Likelihood
10430,59.638,Medium Likelihood
10431,7.127,Very Low Likelihood
10432,3.028,Very Low Likelihood
10433,24.67,Very Low Likelihood
10434,43.038,Low Likelihood
10435,2.855,Very Low Likelihood
10436,18.614,Very Low Likelihood
10437,85.603,Very High Likelihood
10438,7.096,Very Low Likelihood
10439,13.122,Very Low Likelihood
10440,47.433,Low Likelihood
10441,88.871,Very High Likelihood
10442,72.379,High Likelihood
10443,62.382,Medium Likelihood
10444,2.514,Very Low Likelihood
10445,93.325,Very High Likelihood
10446,33.306,Low Likelihood
10447,78.567,High Likelihood
10448,90.181,Very High Likelihood
10449,18.302,Very Low Likelihood
10450,46.104,Low Likelihood
10451,23.647,Very Low Likelihood
10452,32.394,Low Likelihood
10453,90.856,Very High Likelihood
10454,64.81,Medium Likelihood
10455,13.866,Very Low Likelihood
10456,95.907,Very High Likelihood
10457,93.847,Very High Likelihood
10458,6.946,Very Low Likelihood
10459,70.412,High Likelihood
10460,8.186,Very Low Likelihood
10461,61.744,Medium Likelihood
10462,0.398,Very Low Likelihood
10463,0.155,Very Low Likelihood
10464,0.22,Very Low Likelihood
10465,0.853,Very Low Likelihood
10466,92.008,Very High Likelihood
10467,0.19,Very Low Likelihood
10468,45.512,Low Likelihood
10469,0.189,Very Low Likelihood
10470,1.381,Very Low Likelihood
10471,0.185,Very Low Likelihood
10472,0.154,Very Low Likelihood
10473,2.085,Very Low Likelihood
10474,0.651,Very Low Likelihood
10475,27.893,Low Likelihood
10476,1.647,Very Low Likelihood
10477,28.567,Low Likelihood
10478,92.807,Very High Likelihood
10479,1.974,Very Low Likelihood
10480,22.417,Very Low Likelihood
10481,2.835,Very Low Likelihood
10482,1.253,Very Low Likelihood
10483,0.081,Very Low Likelihood
10484,14.382,Very Low Likelihood
10485,12.051,Very Low Likelihood
10486,4.222,Very Low Likelihood
10487,0.129,Very Low Likelihood
10488,0.087,Very Low Likelihood
10489,0.168,Very Low Likelihood
10490,45.426,Low Likelihood
10491,0.172,Very Low Likelihood
10492,0.851,Very Low Likelihood
10493,0.511,Very Low Likelihood
10494,3.912,Very Low Likelihood
10495,1.088,Very Low Likelihood
10496,0.289,Very Low Likelihood
10497,2.933,Very Low Likelihood
10498,1.259,Very Low Likelihood
10499,0.285,Very Low Likelihood
10500,0.188,Very Low Likelihood
10501,16.539,Very Low Likelihood
10502,2.8,Very Low Likelihood
10503,0.161,Very Low Likelihood
10504,2.354,Very Low Likelihood
10505,0.359,Very Low Likelihood
10506,22.685,Very Low Likelihood
10507,3.061,Very Low Likelihood
10508,46.636,Low Likelihood
10509,0.337,Very Low Likelihood
10510,16.87,Very Low Likelihood
10511,2.513,Very Low Likelihood
10512,4.852,Very Low Likelihood
10513,2.558,Very Low Likelihood
10514,3.376,Very Low Likelihood
10515,15.613,Very Low Likelihood
10516,18.345,Very Low Likelihood
10517,11.762,Very Low Likelihood
10518,1.595,Very Low Likelihood
10519,0.149,Very Low Likelihood
10520,0.437,Very Low Likelihood
10521,24.869,Very Low Likelihood
10522,0.087,Very Low Likelihood
10523,3.938,Very Low Likelihood
10524,5.873,Very Low Likelihood
10525,2.703,Very Low Likelihood
10526,2.906,Very Low Likelihood
10527,0.369,Very Low Likelihood
10528,10.425,Very Low Likelihood
10529,17.141,Very Low Likelihood
10530,0.998,Very Low Likelihood
10531,0.44,Very Low Likelihood
10532,1.402,Very Low Likelihood
10533,37.992,Low Likelihood
10534,0.195,Very Low Likelihood
10535,0.47,Very Low Likelihood
10536,0.93,Very Low Likelihood
10537,24.475,Very Low Likelihood
10538,1.042,Very Low Likelihood
10539,0.352,Very Low Likelihood
10540,0.248,Very Low Likelihood
10541,15.009,Very Low Likelihood
10542,0.29,Very Low Likelihood
10543,3.409,Very Low Likelihood
10544,12.169,Very Low Likelihood
10545,36.178,Low Likelihood
10546,0.509,Very Low Likelihood
10547,10.929,Very Low Likelihood
10548,0.454,Very Low Likelihood
10549,10.363,Very Low Likelihood
10550,1.634,Very Low Likelihood
10551,3.96,Very Low Likelihood
10552,0.626,Very Low Likelihood
10553,40.644,Low Likelihood
10554,0.541,Very Low Likelihood
10555,1.65,Very Low Likelihood
10556,2.261,Very Low Likelihood
10557,33.002,Low Likelihood
10558,4.622,Very Low Likelihood
10559,0.659,Very Low Likelihood
10560,6.491,Very Low Likelihood
10561,5.359,Very Low Likelihood
10562,9.963,Very Low Likelihood
10563,2.23,Very Low Likelihood
10564,10.833,Very Low Likelihood
10565,75.132,High Likelihood
10566,8.593,Very Low Likelihood
10567,1.143,Very Low Likelihood
10568,0.964,Very Low Likelihood
10569,19.654,Very Low Likelihood
10570,0.205,Very Low Likelihood
10571,1.082,Very Low Likelihood
10572,5.589,Very Low Likelihood
10573,33.54,Low Likelihood
10574,13.354,Very Low Likelihood
10575,0.651,Very Low Likelihood
10576,0.294,Very Low Likelihood
10577,42.893,Low Likelihood
10578,12.26,Very Low Likelihood
10579,0.468,Very Low Likelihood
10580,0.569,Very Low Likelihood
10581,60.013,Medium Likelihood
10582,1.418,Very Low Likelihood
10583,0.57,Very Low Likelihood
10584,1.133,Very Low Likelihood
10585,37.111,Low Likelihood
10586,1.155,Very Low Likelihood
10587,1.515,Very Low Likelihood
10588,0.204,Very Low Likelihood
10589,20.22,Very Low Likelihood
10590,0.717,Very Low Likelihood
10591,0.492,Very Low Likelihood
10592,1.083,Very Low Likelihood
10593,10.635,Very Low Likelihood
10594,5.393,Very Low Likelihood
10595,15.137,Very Low Likelihood
10596,0.693,Very Low Likelihood
10597,42.723,Low Likelihood
10598,0.159,Very Low Likelihood
10599,1.066,Very Low Likelihood
10600,2.347,Very Low Likelihood
10601,48.827,Low Likelihood
10602,3.495,Very Low Likelihood
10603,0.203,Very Low Likelihood
10604,1.448,Very Low Likelihood
10605,18.407,Very Low Likelihood
10606,1.471,Very Low Likelihood
10607,0.822,Very Low Likelihood
10608,2.489,Very Low Likelihood
10609,3.713,Very Low Likelihood
10610,2.272,Very Low Likelihood
10611,7.79,Very Low Likelihood
10612,1.61,Very Low Likelihood
10613,42.186,Low Likelihood
10614,2.815,Very Low Likelihood
10615,2.629,Very Low Likelihood
10616,3.29,Very Low Likelihood
10617,60.041,Medium Likelihood
10618,1.775,Very Low Likelihood
10619,4.298,Very Low Likelihood
10620,8.187,Very Low Likelihood
10621,68.739,Medium Likelihood
10622,0.248,Very Low Likelihood
10623,4.197,Very Low Likelihood
10624,0.772,Very Low Likelihood
10625,32.933,Low Likelihood
10626,1.027,Very Low Likelihood
10627,3.199,Very Low Likelihood
10628,7.749,Very Low Likelihood
10629,14.483,Very Low Likelihood
10630,10.41,Very Low Likelihood
10631,0.782,Very Low Likelihood
10632,6.323,Very Low Likelihood
10633,7.758,Very Low Likelihood
10634,1.365,Very Low Likelihood
10635,0.81,Very Low Likelihood
10636,0.765,Very Low Likelihood
10637,11.484,Very Low Likelihood
10638,2.069,Very Low Likelihood
10639,0.498,Very Low Likelihood
10640,0.48,Very Low Likelihood
10641,3.686,Very Low Likelihood
10642,2.289,Very Low Likelihood
10643,11.513,Very Low Likelihood
10644,7.318,Very Low Likelihood
10645,59.797,Medium Likelihood
10646,0.396,Very Low Likelihood
10647,8.163,Very Low Likelihood
10648,1.224,Very Low Likelihood
10649,56.902,Medium Likelihood
10650,0.206,Very Low Likelihood
10651,0.224,Very Low Likelihood
10652,4.16,Very Low Likelihood
10653,21.138,Very Low Likelihood
10654,1.344,Very Low Likelihood
10655,0.343,Very Low Likelihood
10656,0.315,Very Low Likelihood
10657,14.459,Very Low Likelihood
10658,1.691,Very Low Likelihood
10659,0.374,Very Low Likelihood
10660,1.059,Very Low Likelihood
10661,65.669,Medium Likelihood
10662,2.429,Very Low Likelihood
10663,9.429,Very Low Likelihood
10664,0.41,Very Low Likelihood
10665,63.59,Medium Likelihood
10666,1.441,Very Low Likelihood
